,period,gross_oil_prod,gross_gas_prod,gross_ngl_prod,gross_water_prod,wi_oil_prod,wi_gas_prod,wi_ngl_prod,wi_water_prod,net_oil_prod,net_gas_prod,net_ngl_prod,realized_oil_price,realized_gas_price,realized_ngl_price,oil_revenue,gas_revenue,ngl_revenue,total_revenue,fixed_loe,variable_loe_oil,variable_loe_gas,variable_loe_water,total_variable_loe,gcp,prod_tax,ad_val_tax,total_expenses,drilling_capex,completion_capex,d_and_c,undisc_cf,PV-20.0%,Cum PV-20.0%
0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,78.200,2.029,40.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1600.000,0.000,1600.000,-1600.000,-1573.770,-1573.770
1,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,78.200,2.029,40.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2200.000,2200.000,-2200.000,-2128.460,-3702.231
2,3.000,14.700,29.250,1.960,36.000,14.700,21.645,1.960,36.000,12.348,18.182,1.646,78.200,2.029,40.000,965.614,36.893,65.848,1068.354,9.500,11.760,0.000,52.560,64.320,16.727,76.921,0.000,167.469,0.000,0.000,0.000,900.885,857.302,-2844.929
3,4.000,7.427,19.696,1.320,19.947,7.427,14.575,1.320,19.947,6.238,12.243,1.108,78.200,2.029,40.000,487.849,24.842,44.340,557.030,9.500,5.941,0.000,29.123,35.065,11.264,40.106,0.000,95.934,0.000,0.000,0.000,461.096,431.596,-2413.333
4,5.000,4.881,14.785,0.991,13.798,4.881,10.941,0.991,13.798,4.100,9.190,0.832,78.200,2.029,40.000,320.609,18.648,33.284,372.541,9.500,3.905,0.000,20.145,24.049,8.455,26.823,0.000,68.828,0.000,0.000,0.000,303.713,279.622,-2133.712
5,6.000,3.601,11.804,0.791,10.547,3.601,8.735,0.791,10.547,3.025,7.338,0.664,78.200,2.029,40.000,236.575,14.889,26.574,278.037,9.500,2.881,0.000,15.399,18.280,6.751,20.019,0.000,54.549,0.000,0.000,0.000,223.488,202.387,-1931.324
6,7.000,2.838,9.807,0.657,8.537,2.838,7.257,0.657,8.537,2.384,6.096,0.552,78.200,2.029,40.000,186.392,12.369,22.077,220.838,9.500,2.270,0.000,12.463,14.733,5.608,15.900,0.000,45.742,0.000,0.000,0.000,175.096,155.965,-1775.360
7,8.000,2.332,8.377,0.561,7.170,2.332,6.199,0.561,7.170,1.959,5.207,0.471,78.200,2.029,40.000,153.188,10.566,18.859,182.613,9.500,1.866,0.000,10.468,12.334,4.791,13.148,0.000,39.773,0.000,0.000,0.000,142.840,125.147,-1650.212
8,9.000,1.974,7.305,0.489,6.181,1.974,5.405,0.489,6.181,1.658,4.540,0.411,78.200,2.029,40.000,129.668,9.213,16.444,155.325,9.500,1.579,0.000,9.024,10.603,4.177,11.183,0.000,35.464,0.000,0.000,0.000,119.861,103.293,-1546.919
9,10.000,1.708,6.471,0.434,5.431,1.708,4.788,0.434,5.431,1.434,4.022,0.364,78.200,2.029,40.000,112.175,8.161,14.567,134.903,9.500,1.366,0.000,7.930,9.296,3.700,9.713,0.000,32.209,0.000,0.000,0.000,102.694,87.048,-1459.871
10,11.000,1.502,5.804,0.389,4.844,1.502,4.295,0.389,4.844,1.262,3.608,0.327,78.200,2.029,40.000,98.680,7.321,13.066,119.068,9.500,1.202,0.000,7.073,8.274,3.319,8.573,0.000,29.666,0.000,0.000,0.000,89.401,74.538,-1385.333
